Processes & Thread &    n=2048 &    n=8192 &    n=16384 \\
1 & 36 &    1.375820e+00 &  2.159030e+01 &  8.927343e+01 \\
2 & 18 &    7.417560e-01 &  1.123698e+01 &  4.441231e+01 \\
3 & 12 &    1.034756e+00 &  1.350203e+01 &  5.583350e+01 \\
6 & 6 & 8.255120e-01 &  1.013905e+01 &  4.175794e+01 \\
12 &    3 & 9.261280e-01 &  1.024582e+01 &  4.173763e+01 \\
18 &    2 & 1.100374e+00 &  1.054620e+01 &  4.183185e+01 \\
36 &    1 & 4.865029e+00 &  1.600261e+01 &  5.142002e+01 \\


Processes & Hybrid &    Distributed memory \\
1 & 8.927343e+01 &  6.174798e+02 \\
2 & 4.441231e+01 &  3.089000e+02 \\
3 & 5.583350e+01 &  2.073900e+02 \\
6 & 4.175794e+01 &  1.102293e+02 \\
12 &    4.173763e+01 &  6.365200e+01 \\
18 &    4.183185e+01 &  4.476399e+01 \\
36 &    5.142002e+01 &  5.142002e+01 \\
