n,p,th,u,e,Tp,T1,Sp=T1/Tp,eff=Sp/p
4096,2,18,6.249995E-02,1.047046E+00,9.574037E+00,6.828239E+01,7.132038E+00,3.566019E+00
4096,3,12,6.249998E-02,1.047047E+00,6.366959E+00,6.828239E+01,1.072449E+01,3.574830E+00
4096,6,6,6.249998E-02,1.047046E+00,4.865468E+00,6.828239E+01,1.403409E+01,2.339014E+00
4096,12,3,6.249998E-02,1.047047E+00,4.927817E+00,6.828239E+01,1.385652E+01,1.154710E+00
4096,18,2,6.249998E-02,1.047047E+00,4.794286E+00,6.828239E+01,1.424245E+01,7.912474E-01
4096,36,1,6.249998E-02,1.047047E+00,7.362070E+00,6.828239E+01,9.274890E+00,2.576358E-01
8192,1,36,6.249999E-02,1.047059E+00,4.234808E+01,2.894238E+02,6.834403E+00,6.834403E+00
8192,2,18,6.249999E-02,1.047059E+00,3.986964E+01,2.894238E+02,7.259253E+00,3.629626E+00
8192,3,12,6.249999E-02,1.047056E+00,2.680331E+01,2.894238E+02,1.079806E+01,3.599354E+00
8192,6,6,6.249999E-02,1.047059E+00,1.976726E+01,2.894238E+02,1.464157E+01,2.440262E+00
8192,12,3,6.250000E-02,1.047059E+00,1.955647E+01,2.894238E+02,1.479939E+01,1.233282E+00
8192,18,2,6.250000E-02,1.047059E+00,1.965006E+01,2.894238E+02,1.472890E+01,8.182724E-01
8192,36,1,6.250000E-02,1.047059E+00,2.518001E+01,2.894238E+02,1.149419E+01,3.192830E-01
16384,1,36,6.250000E-02,1.047064E+00,1.781071E+02,1.234396E+03,6.930640E+00,6.930640E+00
16384,2,18,6.250000E-02,1.047065E+00,1.665005E+02,1.234396E+03,7.413768E+00,3.706884E+00
16384,3,12,6.249999E-02,1.047065E+00,1.101884E+02,1.234396E+03,1.120259E+01,3.734197E+00
16384,6,6,6.250000E-02,1.047065E+00,8.228461E+01,1.234396E+03,1.500154E+01,2.500257E+00
16384,12,3,6.250000E-02,1.047065E+00,8.133267E+01,1.234396E+03,1.517713E+01,1.264760E+00
16384,18,2,6.250000E-02,1.047065E+00,8.185069E+01,1.234396E+03,1.508107E+01,8.378373E-01
16384,36,1,6.250000E-02,1.047065E+00,9.934101E+01,1.234396E+03,1.242585E+01,3.451624E-01
