n,p,th,u,e,Tp,Sp=T1/Tp,eff=Sp/p,T1
16,1,2,6.135241E-02,1.019947E+00,7.280000E-04,1.402473E+00,1.402473E+00,1.021000E-03
16,1,3,6.135241E-02,1.019947E+00,1.156000E-03,8.832180E-01,8.832180E-01,1.021000E-03
16,1,4,6.096363E-02,1.019947E+00,1.004000E-03,1.016932E+00,1.016932E+00,1.021000E-03
16,1,6,6.096363E-02,1.038974E+00,1.028000E-03,9.931907E-01,9.931907E-01,1.021000E-03
16,1,8,6.096363E-02,1.019947E+00,9.770000E-04,1.045036E+00,1.045036E+00,1.021000E-03
16,1,12,6.135241E-02,1.038974E+00,1.422000E-03,7.180028E-01,7.180028E-01,1.021000E-03
16,1,16,6.135241E-02,1.019947E+00,1.517000E-03,6.730389E-01,6.730389E-01,1.021000E-03
16,1,18,6.057981E-02,1.038974E+00,1.564000E-03,6.528133E-01,6.528133E-01,1.021000E-03
16,1,36,6.135241E-02,1.018340E+00,2.392000E-03,4.268395E-01,4.268395E-01,1.021000E-03
16,2,1,6.135241E-02,1.038974E+00,6.900000E-04,1.479710E+00,7.398551E-01,1.021000E-03
16,2,2,6.096363E-02,1.038974E+00,6.060000E-04,1.684818E+00,8.424092E-01,1.021000E-03
16,2,3,6.096363E-02,1.019947E+00,1.332000E-03,7.665165E-01,3.832583E-01,1.021000E-03
16,2,4,6.135241E-02,1.038974E+00,4.920000E-04,2.075203E+00,1.037602E+00,1.021000E-03
16,2,6,6.096363E-02,1.038974E+00,1.431200E-02,7.133874E-02,3.566937E-02,1.021000E-03
16,2,8,5.981858E-02,9.620297E-01,1.972400E-02,5.176435E-02,2.588217E-02,1.021000E-03
16,2,12,6.096363E-02,1.038974E+00,1.164000E-03,8.771478E-01,4.385739E-01,1.021000E-03
16,2,16,6.135241E-02,1.038974E+00,1.295000E-03,7.884170E-01,3.942085E-01,1.021000E-03
16,2,18,6.135241E-02,1.038974E+00,1.427000E-03,7.154870E-01,3.577435E-01,1.021000E-03
16,2,36,6.135241E-02,1.038974E+00,2.513000E-03,4.062873E-01,2.031437E-01,1.021000E-03
16,3,1,6.135241E-02,1.038974E+00,5.340000E-04,1.911985E+00,6.373283E-01,1.021000E-03
16,3,2,6.135241E-02,1.038974E+00,4.720000E-04,2.163136E+00,7.210452E-01,1.021000E-03
16,3,3,6.096363E-02,1.038974E+00,8.850000E-04,1.153672E+00,3.845574E-01,1.021000E-03
